Respondent,Country,AgeGroup,EducationLevel
2,United Kingdom of Great Britain and Northern Ireland,35-44 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
3,United Kingdom of Great Britain and Northern Ireland,45-54 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
10,Serbia,35-44 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
11,United States of America,35-44 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
12,Poland,45-54 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)"
19,Germany,25-34 years old,Some college/university study without earning a degree
23,Ireland,45-54 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
24,United States of America,55-64 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
27,Italy,35-44 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
29,United Kingdom of Great Britain and Northern Ireland,25-34 years old,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)"
30,Philippines,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
33,Brazil,25-34 years old,"Associate degree (A.A., A.S., etc.)"
36,United States of America,25-34 years old,Some college/university study without earning a degree
37,Austria,18-24 years old,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)"
39,France,35-44 years old,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)"
41,Brazil,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
44,Austria,35-44 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
45,Romania,25-34 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
46,United Kingdom of Great Britain and Northern Ireland,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
52,United States of America,18-24 years old,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)"
53,Germany,18-24 years old,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)"
55,United Kingdom of Great Britain and Northern Ireland,25-34 years old,Some college/university study without earning a degree
62,Switzerland,55-64 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
65,Sweden,45-54 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
72,Sweden,45-54 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
75,Switzerland,55-64 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
78,Republic of North Macedonia,18-24 years old,Some college/university study without earning a degree
79,United States of America,45-54 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
87,United Kingdom of Great Britain and Northern Ireland,45-54 years old,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)"
111,Greece,18-24 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
113,Ireland,45-54 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
114,United States of America,45-54 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
119,Sweden,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
121,United Republic of Tanzania,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
122,Ireland,45-54 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
125,Japan,35-44 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
127,India,25-34 years old,"Master's degree (M.A., M.S., M.Eng., MBA, etc.)"
129,United States of America,35-44 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
130,Sweden,35-44 years old,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)"
132,Germany,25-34 years old,"Bachelor's degree (B.A., B.S., B.Eng., etc.)"
